id,latitude,longitude,step 1,step 2,step 3,step 4,step 5.1,step 5.2
GB1371_S,55.850719060769606,-4.249355206973023,1,1,1,1,1,1
GB1371_T,55.851862256680434,-4.2507313859770175,1,1,1,1,1,1
GB1371_V,55.85082854749504,-4.251230787940519,1,1,1,1,1,1
GB145A_R,55.85056569480922,-4.24840373546434,1,1,1,1,1,1
GB1551_S,55.84522629257682,-4.24894198294951,1,1,1,1,0,0
GB1551_T,55.84589709395648,-4.250594159531877,1,1,1,1,0,0
GB1601_A,55.84910016918743,-4.244005615223766,1,1,1,1,1,1
GB1601_B,55.84702896941595,-4.2383109678003965,1,1,1,1,1,1
GC0051_D,55.86338219860943,-4.279637561166447,1,1,1,1,1,0
GC0051_E,55.86305638424973,-4.2714997899572005,1,1,1,1,1,1
GC0051_F,55.86232299648128,-4.275196603969022,1,1,1,1,1,1
GC0051_G,55.86387922610635,-4.2756072586916085,1,1,1,1,1,1
GC0101_L,55.86142051523754,-4.280737173579034,1,1,1,1,0,0
GC0101_R,55.86087384652589,-4.282590859455408,1,1,1,1,0,0
GC0101_S,55.86009190011274,-4.279684483253751,1,1,1,1,0,0
GC0101_T,55.86141962736002,-4.280785064533067,1,1,1,1,0,0
GC0101_V,55.8603704074616,-4.282113867822337,1,1,1,1,0,0
GC0101_W,55.86045179946708,-4.282086680666378,1,1,1,1,0,0
GC012A_M,55.86083972337627,-4.281038723099536,1,1,1,1,0,0
GC0151_A,55.86461833542953,-4.283737543619468,1,1,1,1,1,1
GC0151_B,55.863000288949785,-4.275507901491077,1,1,1,1,1,1
GC0151_E,55.86261810821206,-4.2806156035241845,1,1,1,1,1,1
GC0201_C,0.0,0.0,0,0,0,0,0,0
GC0201_D,0.0,0.0,0,0,0,0,0,0
GC0201_G,0.0,0.0,0,0,0,0,0,0
GC0251_R,55.85818298363828,-4.282784557232664,1,1,1,1,0,0
GC0251_T,55.85887487629518,-4.281339013327327,1,1,1,1,0,0
GC0251_W,55.85887546834172,-4.281307088124026,1,1,1,1,0,0
GC0271_A,55.86829456979695,-4.3082808671820265,1,1,1,1,1,1
GC0271_B,55.866103432654064,-4.303387898377829,1,1,1,1,1,1
GC0271_C,55.86611722281032,-4.305050949941555,1,1,1,1,1,0
GC0271_D,55.86612856111743,-4.303005793667014,1,1,1,1,1,1
GC0301_R,55.86803147131897,-4.310327168415186,1,1,1,1,1,0
GC0301_S,55.86699013864882,-4.304511293148272,1,1,1,1,1,0
GC0301_T,55.86898313606474,-4.308945116460712,1,1,1,1,1,0
GC0321_A,55.86803618938978,-4.31198976867953,1,1,1,1,1,1
GC0321_B,55.86807070822496,-4.309194645327121,1,1,1,1,1,1
GC0321_D,55.86846332374294,-4.309345826900188,1,1,1,1,1,0
GC0321_F,55.86806342207265,-4.311975403552451,1,1,1,1,1,1
GC095A_T,55.86504970450376,-4.275979395767575,1,1,1,1,0,0
GC095A_V,55.86318970831961,-4.275471035740416,1,1,1,1,0,0
GC120A_G,55.86510999051393,-4.2853326955192514,1,1,1,1,1,0
GC125A_E,0.0,0.0,0,0,0,0,0,0
GC125A_F,0.0,0.0,0,0,0,0,0,0
GC1301_R,55.86760359018586,-4.290913616788351,1,1,1,1,1,1
GC1301_S,55.86659977957888,-4.287865644847315,1,1,1,1,1,1
GC1301_T,55.86744731675165,-4.288203198759974,1,1,1,1,1,1
GC1301_V,0.0,0.0,0,0,0,0,0,0
GC1351_A,55.86726511374354,-4.290749830596191,1,1,1,1,1,1
GC1351_B,55.86543668629364,-4.2866145197444485,1,1,1,1,1,1
GC1351_C,0.0,0.0,0,0,0,0,0,0
GC1351_D,0.0,0.0,0,0,0,0,0,0
GC1401_E,55.86904232046511,-4.29280457054792,1,1,1,1,1,0
GC1401_F,55.86904291555608,-4.292772637260323,1,1,1,1,1,0
GC1401_G,55.86717461991006,-4.289817463685202,1,1,1,1,1,0
GC1401_H,0.0,0.0,0,0,0,0,0,0
GC152A_C,55.86979901606183,-4.294639442160442,1,1,1,0,0,0
GC152A_D,55.8678885548286,-4.291537781343723,1,1,1,0,0,0
GC155A_A,55.8700565483617,-4.2967326358773645,1,1,1,1,1,1
GC1601_P,55.87125666762471,-4.298402020212851,1,1,1,0,0,0
GC1601_R,55.87088247073179,-4.302072434386384,1,1,1,1,1,0
GC1601_S,55.86992121234773,-4.295797539516268,1,1,1,1,1,0
GC1601_T,55.87020220840413,-4.300481653737905,1,1,1,1,1,0
GC1621_A,55.869187177842605,-4.31052369212537,1,1,1,1,1,1
GC1621_B,55.86924050999107,-4.308161178945728,1,1,1,1,1,1
GC1621_F,55.86922308807458,-4.310525825398453,1,1,1,1,1,1
GC1631_R,55.86875616935264,-4.312416185365758,1,1,1,1,1,1
GC1631_V,55.86865988245911,-4.310844018539943,1,1,1,1,1,0
GC1631_W,55.869196393525584,-4.3119468443932005,1,1,1,1,1,1
GC1631_X,55.86866138186297,-4.310764187114153,1,1,1,1,1,0
GC168A_R,55.8708600580305,-4.3085450258327445,1,1,1,1,1,1
GC168A_S,55.870822928351394,-4.302372624106607,1,1,1,1,1,1
GC1701_A,55.87081055174789,-4.312138708521611,1,1,1,1,1,1
GC1701_B,55.87079005851312,-4.305088119322359,1,1,1,1,1,1
GC1751_P,55.87165708971644,-4.313004289669034,1,1,1,1,1,1
GC1751_R,55.87077859510145,-4.315749415387564,1,1,1,1,1,1
GC1751_S,55.87071038176413,-4.310294484557788,1,1,1,1,1,1
GC1751_T,55.86997113893839,-4.3123285757376895,1,1,1,1,1,1
GC180A_A,55.87075887171979,-4.318705464334025,1,1,1,1,1,1
GC180A_B,55.87066625841282,-4.313121196092941,1,1,1,1,1,1
GC185A_R,55.87071894456725,-4.319869987669575,1,1,1,1,1,1
GC185A_S,55.87068938178264,-4.316191682113261,1,1,1,1,1,1
GC2151_A,55.87691369909732,-4.3420466351747615,1,1,1,1,1,0
GC2151_B,55.87605524464404,-4.3385097040377625,1,1,1,1,1,0
GC2151_D,55.87609079630776,-4.340893946636147,1,1,1,1,1,0
GC2151_E,55.87025833717289,-4.338976362174559,1,0,0,0,0,0
GC2151_F,55.876350024089206,-4.339550625130312,1,1,1,1,1,0
GC2331_A,55.8826699936794,-4.3512518943045935,1,1,1,1,1,1
